word,co_occurrences_with_uncertainty
economic,309
tariffs,308
trump,297
trade,177
market,165
policy,156
u.s,116
business,112
investment,79
impact,78
amid,77
consumer,76
global,59
growth,58
future,55
federal,52
company,49
created,47
price,45
administration,43
financial,42
rate,41
ongoing,39
change,39
remains,37
people,37
whether,36
government,34
higher,32
high,32
world,32
concerns,32
industry,31
supply,30
fear,28
costs,28
creating,28
volatility,27
ahead,27
risk,27
political,27
however,26
geopolitical,25
likely,25
create,25
deal,25
month,25
confidence,25
across,24
forecast,24
